iter	Accuracy	MultiClass
0	0.301002004	1.605703301
1	0.301002004	1.602192754
2	0.3009644289	1.598882398
3	0.301002004	1.595760092
4	0.3010145291	1.59281141
5	0.3009644289	1.590047241
6	0.3009644289	1.587434538
7	0.3009644289	1.584977857
8	0.3009644289	1.582659077
9	0.3009644289	1.580469361
10	0.3009769539	1.578400585
11	0.3009644289	1.576455299
12	0.300989479	1.574610882
13	0.3009769539	1.572878237
14	0.3009644289	1.571241287
15	0.3009644289	1.569697042
16	0.3009644289	1.568234536
17	0.3009644289	1.566857938
18	0.3009644289	1.565553914
19	0.3009769539	1.5643042
20	0.3009769539	1.563133092
21	0.300989479	1.562025036
22	0.300989479	1.56096835
23	0.300989479	1.559962167
24	0.3009769539	1.559039929
25	0.3009769539	1.558157558
26	0.3009769539	1.557334935
27	0.300989479	1.556550427
28	0.300989479	1.555815262
29	0.301002004	1.55512199
30	0.3009769539	1.554467545
31	0.300989479	1.553844753
32	0.300989479	1.553260477
33	0.300989479	1.552698924
34	0.300989479	1.552178199
35	0.300989479	1.551686448
36	0.300989479	1.551217339
37	0.300989479	1.550779108
38	0.300989479	1.550365356
39	0.301002004	1.54996631
40	0.301002004	1.549597506
41	0.301002004	1.549249056
42	0.300989479	1.548881484
43	0.301002004	1.54857024
44	0.301002004	1.548259828
45	0.301002004	1.547959798
46	0.301002004	1.547691019
47	0.301002004	1.547444678
48	0.301002004	1.547186129
49	0.301002004	1.546960776
50	0.301002004	1.546733437
51	0.301002004	1.546538021
52	0.301002004	1.546353274
53	0.301002004	1.54617013
54	0.301002004	1.546001281
55	0.301002004	1.545838777
56	0.301002004	1.545692711
57	0.301002004	1.545534373
58	0.301002004	1.545398122
59	0.301002004	1.545224925
60	0.301002004	1.545109252
61	0.301002004	1.544981472
62	0.301002004	1.544870221
63	0.301002004	1.544772796
64	0.301002004	1.544651314
65	0.301002004	1.544563369
66	0.301002004	1.544440034
67	0.301002004	1.544363115
68	0.301002004	1.544290752
69	0.301002004	1.544191722
70	0.301002004	1.544127396
71	0.301002004	1.544002203
72	0.301002004	1.543943943
73	0.301002004	1.543857423
74	0.301002004	1.543803024
75	0.301002004	1.543755122
76	0.301002004	1.543709333
77	0.301002004	1.54362548
78	0.301002004	1.543556844
79	0.301002004	1.543496491
80	0.301002004	1.543410407
81	0.301002004	1.543305017
82	0.301002004	1.543252518
83	0.301002004	1.543175351
84	0.301002004	1.543101788
85	0.301002004	1.543024441
86	0.301002004	1.542976853
87	0.301002004	1.542923016
88	0.301002004	1.542821874
89	0.301002004	1.542779364
90	0.301002004	1.542751565
91	0.301002004	1.542732975
92	0.301002004	1.542675426
93	0.301002004	1.542627578
94	0.301002004	1.542597551
95	0.301002004	1.542579105
96	0.301002004	1.542545588
97	0.301002004	1.542498307
98	0.301002004	1.542471431
99	0.301002004	1.542399291
