iter	Passed	Remaining
0	948	93913
1	1291	63275
2	2085	67436
3	2657	63786
4	3183	60490
5	3297	51662
6	4121	54756
7	4367	50224
8	4761	48139
9	5136	46232
10	5728	46350
11	5848	42892
12	6344	42459
13	6466	39720
14	6658	37733
15	6848	35955
16	7338	35831
17	7531	34312
18	8029	34229
19	8545	34183
20	9054	34063
21	9586	33989
22	10106	33834
23	10626	33650
24	10747	32242
25	11097	31585
26	11221	30339
27	11651	29961
28	11981	29333
29	12169	28395
30	12284	27343
31	12796	27193
32	13069	26535
33	13585	26372
34	13792	25615
35	13985	24863
36	14511	24708
37	14631	23872
38	14751	23073
39	15295	22942
40	15423	22194
41	15623	21574
42	16154	21414
43	16345	20803
44	16895	20649
45	17428	20458
46	17943	20234
47	18063	19569
48	18601	19360
49	19121	19121
50	19655	18884
51	19774	18253
52	19983	17721
53	20337	17324
54	20615	16867
55	21287	16725
56	21423	16161
57	22499	16292
58	22827	15863
59	23554	15703
60	23804	15219
61	24738	15162
62	25987	15262
63	26358	14826
64	27547	14833
65	27982	14415
66	28671	14121
67	29009	13651
68	29149	13096
69	29731	12742
70	30010	12257
71	30601	11900
72	30824	11400
73	31473	11058
74	31890	10630
75	32026	10113
76	32339	9659
77	32933	9289
78	33509	8907
79	34066	8516
80	34627	8122
81	35197	7726
82	35841	7341
83	36464	6945
84	37226	6569
85	37942	6176
86	38652	5775
87	39310	5360
88	40004	4944
89	40604	4511
90	41415	4096
91	41547	3612
92	42351	3187
93	43022	2746
94	43746	2302
95	44134	1838
96	44864	1387
97	45585	930
98	46299	467
99	47040	0
